x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.1,1986-05-01 0:00,ON,1986,5,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.2,1986-05-02 0:00,ON,1986,5,2,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.3,1986-05-03 0:00,ON,1986,5,3,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.4,1986-05-04 0:00,ON,1986,5,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.5,1986-05-05 0:00,ON,1986,5,5,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.6,1986-05-06 0:00,ON,1986,5,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.7,1986-05-07 0:00,ON,1986,5,7,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.8,1986-05-08 0:00,ON,1986,5,8,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.9,1986-05-09 0:00,ON,1986,5,9,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.10,1986-05-10 0:00,ON,1986,5,10,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.11,1986-05-11 0:00,ON,1986,5,11,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.12,1986-05-12 0:00,ON,1986,5,12,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.13,1986-05-13 0:00,ON,1986,5,13,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.14,1986-05-14 0:00,ON,1986,5,14,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.15,1986-05-15 0:00,ON,1986,5,15,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.16,1986-05-16 0:00,ON,1986,5,16,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.17,1986-05-17 0:00,ON,1986,5,17,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.18,1986-05-18 0:00,ON,1986,5,18,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.19,1986-05-19 0:00,ON,1986,5,19,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.20,1986-05-20 0:00,ON,1986,5,20,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.21,1986-05-21 0:00,ON,1986,5,21,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.22,1986-05-22 0:00,ON,1986,5,22,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.23,1986-05-23 0:00,ON,1986,5,23,13.5,,9.9,,17,,0.2,,0.2,,0,,0,,0,,0,,0,,4.5,,72,,100,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.24,1986-05-24 0:00,ON,1986,5,24,15.1,,9,,21.1,,0,,0,,0,,0,,0,,0,,0,,2.9,,60,,100,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.25,1986-05-25 0:00,ON,1986,5,25,18.7,,11,,26.4,,0,,0,,0,,0,,0,,0,,0.7,,0,,39,,94,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.26,1986-05-26 0:00,ON,1986,5,26,19,,12.7,,25.2,,0,,0,,0,,0,,0,,0,,1,,0,,47,,94,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.27,1986-05-27 0:00,ON,1986,5,27,18.8,,11.4,,26.2,,0,,0,,0,,0,,0,,0,,0.8,,0,,48,,100,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.28,1986-05-28 0:00,ON,1986,5,28,20.2,,11.8,,28.5,,0,,0,,0,,0,,0,,0,,2.2,,0,,37,,100,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.29,1986-05-29 0:00,ON,1986,5,29,22.2,,13,,31.4,,0,,0,,0,,0,,0,,0,,4.2,,0,,34,,88,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.30,1986-05-30 0:00,ON,1986,5,30,22.9,,15.3,,30.4,,0,,0,,0,,0,,0,,0,,4.9,,0,,43,,82,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.5.31,1986-05-31 0:00,ON,1986,5,31,17.2,,12.5,,21.8,,0.9,,0.9,,0,,0,,0,,0,,0,,0.8,,64,,88,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.6.1,1986-06-01 0:00,ON,1986,6,1,16.7,,6.2,,27.1,,1.4,,1.4,,0,,0,,35,,46,,0,,1.3,,58,,94,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.6.2,1986-06-02 0:00,ON,1986,6,2,9,,3.3,,14.7,,0,,0,,0,,0,,1,,31,,0,,9,,38,,81,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.6.3,1986-06-03 0:00,ON,1986,6,3,10.2,,1.9,,18.4,,0,,0,,0,,0,,0,,0,,0,,7.8,,32,,87,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.6.4,1986-06-04 0:00,ON,1986,6,4,16.2,,4,,28.4,,0,,0,,0,,0,,0,,0,,0,,1.8,,28,,87,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.1986.6.5,1986-06-05 0:00,ON,1986,6,5,13.5,,10.4,,16.5,,6,,6,,0,,0,,0,,0,,0,,4.5,,68,,94,
