,WELL_ID,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
0,0,257.4422406,105.33919104166667,163.2945863,35.29881708333333,94.14765438,61.04972645833333,4535.43,649388.07,298.19
1,1,261.4812327083333,105.36479895833334,164.35207083333333,34.69769291666667,97.12916188,65.80480104166666,4379.88,629307.34,143.54
2,2,264.38600145833334,105.41087270833333,166.21405729166668,34.77944313,98.17194416666666,64.98716916666666,4509.07,638750.17,108.74
3,3,266.7090863,105.3959594,166.27352895833334,34.05479166666667,100.43555729166667,67.33043583333334,4319.02,612912.62,106.6
4,4,266.66713708333333,105.41051645833333,166.51305895833335,34.39536270833333,100.1540781,66.98642666666667,4417.66,625514.01,117.37
5,5,269.70640503815724,105.35789689455667,166.92603957448563,31.054527555555556,102.78036546367161,69.95473743986032,3226.61,460948.01,118.99
6,6,268.3431391666667,105.4276556,167.28479604166668,34.31033813,101.0583431,67.84564688,4411.9,628668.27,134.19
7,7,268.7475469,105.43754020833333,167.40175041666666,34.307170416666665,101.34579645833334,68.18658438,4376.91,625510.25,152.76
8,8,269.1440456,105.4432656,167.85080354166666,34.280672083333336,101.29324208333334,68.16041208333333,4417.91,626562.21,106.72
9,9,269.55958645833334,105.4498269,167.92766479166667,34.31704895833333,101.63192166666667,68.47889958333333,4396.74,628354.12,155.97
10,10,270.0015425,105.45504541666666,168.02475479166668,34.236873958333334,101.97678770833333,68.79162416666667,4381.09,623678.16,163.39
11,11,281.30456645833334,105.22121333333334,166.24339104166665,24.94421688,115.06117541666667,82.88957895833333,2208.96,316638.28,104.01
12,12,273.07673727639633,105.14198352963615,166.6351346088078,25.032403684210525,106.44160266758853,73.72824286600297,1185.05,165437.35,174.74
13,13,242.67745770833332,105.20206520833334,159.2571588,36.767805,83.42029895833333,50.53880229166667,4379.47,611263.11,207.66
14,14,222.2263388,105.19342229166666,153.78200604166668,41.27178938,68.44433270833333,35.29224813,4211.25,576830.95,104.06
15,15,222.99936729166666,105.2165688,154.261685,41.28630563,68.73768229166667,35.58122688,4237.94,583860.51,104.19
16,16,223.10107020833334,105.23460541666667,154.58998291666666,41.33453313,68.51108729166667,35.36398166666667,4244.23,585468.54,104.3
17,17,223.2921725,105.25352145833334,154.63930958333333,41.32717041666667,68.65286291666666,35.49874875,3759.11,519316.88,127.1
18,18,223.37083229166666,105.26895729166667,154.79146729166666,41.32175625,68.579365,35.43884645833333,3967.32,548750.04,110.41
19,19,223.5817456,105.28575291666667,155.00404979166666,41.30641188,68.57769583333334,35.438415416666665,3972.97,548982.34,148.53
20,20,223.7893331,105.30345354166667,155.309765,41.33041813,68.47956813,35.317111041666664,3994.95,550388.29,153.09
21,21,223.4951213,105.32679208333333,155.73165104166668,41.94327104166667,67.76347020833333,34.49543688,4063.22,557964.5,190.35
22,22,223.5561819,105.348455,156.21049666666667,42.31934188,67.34568520833334,34.04405020833333,4123.37,565775.96,192.65
23,23,223.96805,105.36344770833334,156.5397931,42.26144479166667,67.42825688,34.13432708333333,4136.45,567519.04,208.58
24,24,225.18591083333334,105.36983541666666,156.76827,41.40442813,68.41764083333334,35.24128979166667,4030.16,554095.56,219.01
25,25,225.61826895833335,105.3808706,157.17115958333332,41.32420938,68.44710938,35.30072125,4024.79,552634.43,230.64
26,26,226.01568354166668,105.39355291666666,157.3775581,41.3015175,68.63812541666667,35.510847291666664,4028.53,553345.93,259.77
27,27,226.4892231,105.40379520833334,157.67623854166666,41.256096041666666,68.81298458333333,35.773415416666666,4023.55,553235.27,287.96
28,28,229.91302270833333,105.3777156,157.5668906,38.44231479166667,72.34613208333333,39.72066791666666,3653.89,522179.16,252.35
29,29,230.22538354166667,105.35322458333333,157.2251194,37.791156666666666,73.00026416666667,40.52646875,3496.61,482178.75,279.22
30,30,229.73503166666666,105.345725,157.09201708333333,37.74820354166667,72.64301458333334,40.16408688,3479.8,480474.83,277.49
31,31,229.2729775,105.34099604166667,156.89776041666667,37.767657291666666,72.37521708333334,39.88052125,3442.3,475742.46,278.73
32,32,229.25574895833333,105.34300916666666,156.94702270833332,37.776930416666666,72.30872625,39.84205541666667,3413.78,470984.55,128.49
33,33,228.67671291666667,105.32865229166667,156.885585,37.78974354166667,71.79112791666667,39.354152291666665,2994.6,409045.34,186.7
34,34,227.83973791666668,105.31629,156.46035854166666,37.92573938,71.37937938,38.96373833333333,3352.53,456955.83,104.45
35,35,224.91341895833332,105.29112854166667,155.8481763,38.71770645833333,69.06524270833333,36.36448563,3439.9,459880.12,177.73
36,36,222.90287104166666,105.31029020833333,155.498705,39.78460625,67.40416604166667,34.660793958333336,3497.78,469527.14,109.23
37,37,220.69943791666665,105.21679604166667,152.38696583333333,36.68020188,68.31247208333333,36.01268145833333,3145.29,445722.63,287.17
38,38,219.02184229166667,105.23084416666667,152.2462138,37.486600208333336,66.77562854166666,34.41316438,3483.91,487515.35,349.17
39,39,216.9272369,105.25772395833333,151.9807544,38.31769958333334,64.9464825,32.46535,3494.02,498257.23,435.69
40,40,215.26922833333333,105.2723738,151.8317819,39.44111875,63.43744645833333,30.84672875,3560.14,510798.71,378.9
41,41,211.85529,105.31581041666666,151.8525219,42.23622520833333,60.00276813,27.19850063,3745.56,535961.19,336.28
42,42,219.31746354166665,105.2462906,151.37526395833333,35.306401666666666,67.94219958333333,35.90770166666667,2777.63,397796.78,272.45
43,43,219.0634231,105.23318041666667,151.39300958333334,35.71535729166666,67.67041354166666,35.63818813,2774.05,398807.86,268.44
44,44,218.98811166666667,105.23193354166666,151.4138475,35.74511458333333,67.57426416666667,35.572959166666664,2807.65,403348.17,317.03
45,45,219.02638708333333,105.2333688,151.44061979166668,35.738222916666665,67.58576729166667,35.61563270833334,2811.94,403666.11,278.82
46,46,223.25763083333334,105.19063729166666,151.87121604166666,32.29761479166667,71.38641479166667,39.82464563,2454.11,351874.86,236.93
47,47,228.58117479166665,105.09516208333334,152.3451694,28.067234166666665,76.23600541666667,45.03633188,1854.16,268924.1,171.03
48,48,228.74058833333333,105.07358833333333,152.3114188,28.175889791666666,76.42916958333333,45.212505416666666,1774.82,256988.73,284.01
49,49,228.92045479166666,105.07118854166667,152.38515,28.216795416666667,76.53530479166666,45.28166770833333,1755.46,253941.55,256.61
50,50,228.98714916666665,105.06616333333334,152.3586044,28.15676938,76.62854479166667,45.35823813,1786.06,256678.7,242.23
51,51,229.200885,105.0614813,152.40925854166667,28.133330833333332,76.79162645833334,45.52338520833333,1781.53,255723.68,332.96
52,52,229.31283229166667,105.05931729166667,152.49098041666667,28.292113541666666,76.82185188,45.570026041666665,1787.32,257149.64,342.64
53,53,229.52183708333334,105.0552425,152.5414794,28.18007313,76.98035770833333,45.72725916666667,1770.55,254537.61,340.75
54,54,229.59433354166666,105.05205729166667,152.51010145833334,28.060257708333335,77.08423208333333,45.82499270833333,1756.69,252233.01,338.38
55,55,229.49628520833335,105.05250916666667,152.48046166666666,28.15456916666667,77.01582354166666,45.737508958333336,1756.3,251549.54,341.62
56,56,229.58354145833334,105.05137395833333,152.52186854166666,28.095983541666666,77.06167291666667,45.78406125,1750.5,251352.27,336.16
57,57,229.60045708333334,105.05034770833333,152.53055666666666,28.113936666666667,77.06990041666667,45.77388083333334,2178.86,316747.31,124.86
58,58,229.55275458333332,105.05286666666667,152.5468919,28.26486563,77.00586270833334,45.684533333333334,2189.44,317360.89,156.82
59,59,229.71382645833333,105.05193291666667,152.66770270833334,28.214219791666668,77.04612375,46.09141938,1982.23,277388.46,104.12
60,60,229.78460291666667,105.05177729166667,152.72704895833334,28.257901041666667,77.05755395833333,45.79562313,1983.9,277770.45,100.16
61,61,229.8502713,105.0517625,152.7679156,28.209557291666666,77.08235563,49.49302813,1971.71,276018.34,104.17
62,62,229.87537541666666,105.05080604166666,152.79755666666668,28.219412916666666,77.07781875,45.66345979166667,1973.72,275823.13,103.48
63,63,229.5984431,105.04621104166667,152.68396416666667,28.448151041666666,76.91447895833333,45.45643354166667,1990.32,278743.97,105.87
64,64,228.4766131,105.06445583333333,152.55653645833334,29.24804895833333,75.92007666666667,44.385943958333336,2068.62,287801.88,110.54
65,65,228.39486895833332,105.06852229166667,152.6478713,29.303604583333332,75.74699770833334,44.228989166666665,2058.71,286738.38,110.06
66,66,228.52941854166667,105.0684331,152.7206713,29.157116041666665,75.80874729166666,44.32541813,2031.15,282734.85,108.66
67,67,228.45079083333334,105.06501104166666,152.64789395833333,29.04515438,75.80289688,44.2914875,2021.41,280486.36,100.82
68,68,228.99338916666667,105.09494895833333,153.21664458333333,29.365062708333333,75.77674458333334,45.001197708333336,1998.43,229295.82,113.47
69,69,229.90933147200795,105.08302207830589,153.8246638476162,28.160944130434782,76.08466762439177,44.762051076680024,1725.31,237547.48,140.25
70,70,228.34033916666667,105.14547833333333,153.76284458333333,31.21606313,74.57749458333333,43.068893333333335,2225.2,310831.78,331.44
71,71,228.6450294,105.18760958333333,154.15319520833333,31.664062291666667,74.49183416666666,42.76998708333333,2373.34,334257.82,319.12
72,72,229.73504104166668,105.2010338,154.7320938,31.62910875,75.00294729166667,43.30820313,2374.05,335557.65,268.02
73,73,231.20491333333334,105.2080919,155.25979020833333,31.178432083333334,75.94512313,44.2647725,2332.24,330319.48,305.09
74,74,233.2347363,105.2027869,155.86420083333334,29.961574166666665,77.37053541666667,45.75464458333333,2243.58,318234.69,332.63
75,75,233.19768829787233,105.22840893617021,156.13522893617022,30.40946625,77.06245936170212,45.37454914893617,2334.32,330839.25,335.32
76,76,234.5671825,105.2373594,156.7004319,30.7346975,77.86675063,46.213895,2322.56,330488.82,336.99
77,77,235.85203916666666,105.24247291666667,157.24655958333332,30.371024791666667,78.60547958333333,46.90212979166667,2292.32,325504.85,339.9
78,78,236.39204666666666,105.26261291666667,157.68551520833333,30.752472708333332,78.70653145833333,46.54510729166667,2345.61,334205.26,238.1
79,79,237.64136333333335,105.27038541666667,158.24446770833333,30.595267708333335,79.39689563,47.25245666666667,2337.6,333966.83,240.4
80,80,238.72715104166667,105.28085854166666,158.68588520833333,30.464672291666666,80.04126583333333,47.88276666666667,2338,334189.41,228.51
81,81,239.56652270833334,105.2954556,159.12643083333333,30.551777916666666,80.44009188,48.289355,2324.91,332711.98,228.88
82,82,240.30031083333333,105.297245,159.50616333333335,30.549738333333334,80.7941475,48.64564875,2326.08,333956.28,231.08
83,83,236.24669229155296,105.28042896316033,162.54355231274474,36.51171954545455,73.70313997880822,41.01986979396829,3027.64,423443.82,353.62
84,84,230.15366541666666,105.55419083333334,162.06647833333332,41.257307708333336,68.08718708333333,35.148749583333334,4270.99,593001.24,603.94
85,85,228.82545295241076,105.5736026983678,161.78886395399402,41.75076652173913,67.03658899841673,33.98410735567368,4265.29,591157.5,893.23
86,86,239.10520965587446,105.3446423025613,161.92796640504264,30.982757804878048,77.17724325,44.561631533659174,2058.02,300776.49,349.44
87,87,222.9217938,105.58382145833333,162.25318916666666,47.85999938,60.668604583333334,27.102156041666667,4894.2,676198.46,759.55
88,88,220.56966,105.6219056,162.27721541666668,49.902034791666665,58.292444583333335,24.61396,4998.82,689481.04,820.88
89,89,224.26210958333334,105.5715038,161.3498038,44.94046188,62.912305833333335,29.735195833333332,4615.69,637879.27,750.85
90,90,226.49361770833335,105.51500458333334,160.58296458333334,41.55365354166667,65.91065313,33.02219291666667,4301.84,595600.26,1296.3
91,91,225.18742833333334,105.51826583333333,160.54504791666668,42.295404166666664,64.64238041666667,31.68729313,4369.42,603883.68,824.8
92,92,224.5478294,105.5147738,160.35737479166667,42.29944208333333,64.19045458333333,31.272005416666666,4325.95,596886.66,822.84
93,93,223.84129416666667,105.51046541666666,160.15200229166666,42.21010188,63.68929188,30.825491041666666,4260.78,590097.95,790.51
94,94,223.95201916666667,105.52463833333333,160.38763291666666,42.23653229166667,63.56438625,30.697569583333333,4224.45,586837.65,817.1
95,95,224.40322666666665,105.53382958333333,160.75713229166666,42.28894520833333,63.64609438,30.766307916666666,4232.84,587997.71,804.53
96,96,224.8178819,105.54424666666667,161.11123166666667,42.26969270833333,63.706650208333336,30.83914188,4225.4,587934.37,786.5
97,97,225.27187958333334,105.55197166666666,161.54859854166668,42.236055416666666,63.72328104166667,30.882096458333333,4225.22,588082.99,741.09
98,98,225.5129819,105.56386,161.84964020833334,42.28894604166667,63.66334166666667,30.788043958333333,4232.66,589375.1,785.26
99,99,225.87723270833334,105.57339104166667,162.08536520833334,42.23467188,63.7918675,30.90089645833333,4231.89,588651.73,719.36
100,100,226.17764083333333,105.57892979166667,162.3116844,42.19277291666667,63.865956458333336,30.97464313,4230.53,588015.65,780.1
101,101,226.36076333333332,105.5841563,162.5903819,42.29296895833333,63.77038145833333,30.901118541666666,4227.74,588195.93,762.39
102,102,226.39093958333333,105.5938556,162.88876208333335,42.56228708333333,63.5021775,30.60745916666667,4243.95,590541.2,787.57
103,103,225.20279270833333,105.6230788,163.34915270833332,44.12237145833333,61.85364,28.789899583333334,4321.88,600625.77,799.17
104,104,234.1941562962392,105.34343133283924,171.79793532429332,30.955236774193548,62.396220971945894,36.66637878,1466.67,204838.22,658.03
105,105,232.9929213,105.4902538,162.9737356,37.303869166666665,70.01918563,37.458987083333334,3276.91,463759.06,906.67
106,106,226.90733145833335,105.6092594,163.43556583333333,42.747835,63.47176563,30.54078270833333,4305.76,599141.97,692.06
107,107,220.03238354166666,105.7039419,165.9692813,57.19467063,54.06310229166667,21.104790416666667,4495.44,632803.85,879.68
108,108,218.48211,105.76401458333333,168.7574181,66.23377395833333,49.72469188,16.423459583333333,4848.34,682081.46,760.43
109,109,225.2863512427474,105.71863645030781,168.7856575029153,50.55674692307692,56.50069373983208,23.66339712904265,3044.04,414569.61,525.03
110,110,239.74239520833333,105.52947645833333,165.10429770833332,37.83269125,74.6380975,42.097957916666665,3644.19,508699.03,860.8
111,111,232.98648479166667,105.6443756,166.4020144,43.819509583333335,66.58447041666666,33.15279313,4647.72,644186.79,1176.8
112,112,233.2630831,105.66714666666667,166.47119458333333,43.680615833333334,66.79188854166667,33.376833958333336,4624.18,641206.13,855.75
113,113,233.70860604166666,105.6745494,166.67574854166668,43.26002520833333,67.0328575,33.696325208333334,4595.16,635934.87,823.42
114,114,234.51726083333332,105.66288395833334,166.57735458333335,42.28783125,67.93990625,34.754412708333334,4525.5,627128.48,912.78
115,115,234.85712666666666,105.6732213,166.96260666666666,42.27258063,67.89452,34.73309875,4514.24,627285.29,997.63
116,116,235.23129854166666,105.683575,167.3647294,42.230516458333334,67.86656916666666,34.69501854166667,4478.74,625909.59,929.36
